constno,candidatename,party,criminalcases,education,age,totalassets,liabilities
70,Suresh Rajan N,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 6 </span>",Post Graduate,53,"Rs 2,36,30,356","Rs 26,55,536"
70,Andruz. A,BSP,0,Others,37,"Rs 6,97,000",Rs 0
70,Christin Rani S,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,61,"Rs 99,00,000",Rs 0
70,Dhanam P.m,Naam Tamilar Katchi,0,Graduate,29,"Rs 30,96,500","Rs 2,31,663"
70,Gandhi L,IND,0,10th Pass,50,"Rs 3,55,668",Rs 0
70,Gandhi M.r,BJP,0,12th Pass,69,"Rs 62,95,341",Rs 0
70,George M,Pattali Makkal Katchi,0,10th Pass,39,"Rs 12,00,000","Rs 4,50,000"
70,Jackson M.s,Democratic Corruption Liberation Front,0,Graduate Professional,41,"Rs 13,75,000","Rs 7,97,000"
70,Kannan. M,CPI(ML) Red Star,0,10th Pass,30,"Rs 1,22,94,000",Rs 0
70,Kathiresan. R,Gandhiya Makkal Iyakkam,0,8th Pass,63,"Rs 19,31,908","Rs 5,20,954"
70,Murugesan T,IND,0,5th Pass,44,"Rs 13,53,500","Rs 80,000"
70,Nanjil Murugesan. A,AIADMK,0,5th Pass,50,"Rs 1,75,14,379",Rs 0
70,Rajesh S.m,IND,0,10th Pass,34,"Rs 25,35,444","Rs 7,00,000"
70,Subi,The Future India Party,0,Post Graduate,25,"Rs 1,15,561",Rs 0
70,Suresh. S,Thamizhaga Vaazhvurimai Katchi,0,10th Pass,44,"Rs 10,65,000",Rs 0
71,Prince J G,INC,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",Post Graduate,59,"Rs 99,11,384",Rs 0
71,Aakhash Dhev,Gandhiya Makkal Iyakkam,0,Graduate Professional,41,"Rs 38,36,129","Rs 6,87,312"
71,Alexander Rajkumar A,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",5th Pass,34,"Rs 12,45,033","Rs 25,000"
71,Patchaimal K T,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",12th Pass,55,"Rs 2,58,71,780","Rs 67,31,590"
71,Prabaharan T.,Naam Tamilar Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",12th Pass,41,"Rs 2,405",Rs 0
71,Ramesh P,BJP,0,Post Graduate,50,"Rs 21,08,113","Rs 35,000"
71,Selvaraj M,IND,0,5th Pass,46,"Rs 66,06,200","Rs 9,50,000"
72,Mano Thangaraj T,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 3 </span>",Post Graduate,48,"Rs 16,30,000","Rs 6,69,994"
72,Amala Rajesh A,Peoples Party of India(secular),0,10th Pass,28,"Rs 11,100",Rs 0
72,Arul Selestin Raj,Naam Tamilar Katchi,0,Post Graduate,38,"Rs 34,24,100","Rs 5,50,000"
72,Jeganathan D,DMDK,"<span style=""color:red;font-weight:bold;font-size:150%""> 3 </span>",Graduate Professional,37,"Rs 2,07,47,689","Rs 28,00,000"
72,Rajendra Prasad K P,AIADMK,0,10th Pass,62,"Rs 1,37,66,073","Rs 5,00,000"
72,Shajin S,Tamilaga Sthabana Congress,0,Others,25,"Rs 40,000",Rs 0
72,Shaju V,Pattali Makkal Katchi,0,Graduate Professional,39,"Rs 1,30,83,823","Rs 10,85,000"
72,Sheeba Prasad Su,BJP,0,Post Graduate,43,"Rs 1,96,29,583","Rs 31,16,302"
72,Sunil Raj T,The Future India Party,0,Others,27,"Rs 8,46,315",Rs 0
72,V M Jegadev,SHS,0,Post Graduate,27,"Rs 26,19,172",Rs 0
73,Vijayadharani S,INC,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",Graduate Professional,46,"Rs 7,93,53,723","Rs 63,72,382"
73,Davidraj N,IND,0,5th Pass,43,"Rs 19,37,464","Rs 6,59,880"
73,Dharmaraj C,BJP,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",10th Pass,50,"Rs 37,32,771","Rs 2,10,000"
73,Dominic Savio George,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 3 </span>",Graduate,47,"Rs 97,00,000","Rs 2,16,926"
73,Hariharan R,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",10th Pass,44,"Rs 89,07,275","Rs 20,89,565"
73,Johnchristopher T,JD(S),"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Post Graduate,47,"Rs 3,16,000","Rs 15,00,000"
73,Johnson N,SHS,0,10th Pass,49,"Rs 52,00,000",Rs 0
73,Jose Prabhu K,IND,0,10th Pass,34,"Rs 1,50,010","Rs 1,35,132"
73,Manikandan P,Naam Tamilar Katchi,0,Post Graduate,39,"Rs 10,34,850",Rs 0
73,Ramesh A,IND,0,10th Pass,44,"Rs 9,04,000",Rs 0
73,Shibu T,BSP,0,10th Pass,34,"Rs 5,40,962",Rs 0
73,Wilson I,Valamaana Tamizhagam Katchi,0,12th Pass,51,"Rs 11,000",Rs 0
74,Rajesh Kumar S,INC,"<span style=""color:red;font-weight:bold;font-size:150%""> 6 </span>",Post Graduate,41,"Rs 1,64,74,607","Rs 19,14,536"
74,Alexander J,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",5th Pass,45,"Rs 45,87,700","Rs 24,00,000"
74,Dhanapaul P,CPI(ML) Red Star,0,Post Graduate,54,"Rs 7,99,000",Rs 0
74,Henry J,IND,0,Post Graduate,63,"Rs 20,67,558","Rs 36,000"
74,Kumaradas D,Tamil Maanila Congress (Moopanar),0,Graduate,63,"Rs 1,95,46,640",Rs 0
74,Mary Kamalabai A,AIADMK,0,10th Pass,62,"Rs 39,61,650","Rs 6,23,000"
74,Pal Raj M,IND,0,Post Graduate,49,"Rs 43,40,488","Rs 5,17,000"
74,Pon. Vijayaragavan,BJP,0,Post Graduate,65,"Rs 86,26,229","Rs 62,000"
74,Rajesh M,IND,0,Graduate,27,"Rs 4,82,000","Rs 45,000"
74,Rethnammal T,Naam Tamilar Katchi,0,5th Pass,48,"Rs 3,36,558",Rs 0
74,Sunil Babu K,IND,0,Graduate,41,"Rs 28,51,178","Rs 9,75,000"
74,Thankamony C,Indian Christian Front,0,Post Graduate,57,"Rs 51,77,000","Rs 10,000"
74,Vathana Nisha J,IND,0,12th Pass,36,"Rs 62,71,123","Rs 14,00,000"
75,Baskaran .m,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 3 </span>",Others,43,"Rs 1,03,08,509","Rs 6,87,655"
75,Kalaiyarasan .g,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,44,"Rs 77,95,099","Rs 11,87,011"
75,Mariappan .m,Tamilaga Makkal Munnetra Kazhagam,0,Graduate Professional,36,"Rs 31,000","Rs 68,000"
75,Mohamed Mirza .r,SDPI,0,12th Pass,33,"Rs 9,74,321",Rs 0
75,Natarajan. R,Kongunadu Makkal Desia Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",Graduate Professional,57,"Rs 30,54,29,442","Rs 8,35,76,229"
75,Noyyal M.ramasamy,IND,0,10th Pass,45,"Rs 49,45,159","Rs 1,77,883"
75,Pallanishamy .k.c,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",5th Pass,81,"Rs 1,11,39,87,258","Rs 14,08,49,467"
75,Prabhu C.s,Indiya Jananayaka Katchi,0,Post Graduate,32,"Rs 6,87,100",Rs 0
75,Pukkarandi .v,BSP,0,Literate,54,"Rs 96,500","Rs 35,000"
75,Rajesh Kumar .p,Peoples Party of India(secular),0,10th Pass,29,"Rs 61,000",Rs 0
75,Senthilbalaji .v,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 6 </span>",12th Pass,41,"Rs 2,49,87,280","Rs 8,33,696"
75,Subramani .v,Gokula Makkal Katchi,0,5th Pass,49,"Rs 2,10,500",Rs 0
76,Vijayabhaskar .m.r,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 5 </span>",12th Pass,51,"Rs 3,66,86,526","Rs 37,17,320"
76,Boopathi .r,BSP,0,5th Pass,34,"Rs 40,500",Rs 0
76,Chakravarthy.s,IND,0,12th Pass,29,"Rs 3,22,719","Rs 4,74,978"
76,Imthiyaz Rizvi .n,Gandhiya Makkal Iyakkam,0,10th Pass,38,"Rs 5,80,822","Rs 2,97,000"
76,"Nanmaran,selva",Naam Tamilar Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate Professional,33,"Rs 21,12,439","Rs 73,000"
76,Ravi .a,DMDK,0,10th Pass,51,"Rs 64,14,537","Rs 2,57,000"
76,Shanmugam .m,Kongunadu Makkal Desia Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",12th Pass,53,"Rs 4,81,66,011","Rs 80,00,000"
76,Subramanian .k,INC,0,Graduate,63,"Rs 6,69,03,711","Rs 28,74,893"
76,Velusamy .s.m,Ganasangam Party of India,0,8th Pass,33,"Rs 6,39,298",Rs 0
76,Venkatachalam.p,IND,0,8th Pass,40,"Rs 22,80,000",Rs 0
77,Geetha . M,AIADMK,0,Post Graduate,43,"Rs 2,28,31,769","Rs 66,17,427"
77,Naveenkumar . P,BJP,0,Graduate Professional,27,"Rs 4,56,433","Rs 13,10,000"
77,Pandiyan M,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",8th Pass,45,"Rs 2,31,520",Rs 0
77,"Sivanantham , K.",Tamil Maanila Congress (Moopanar),0,Post Graduate,51,"Rs 7,27,73,908","Rs 34,00,519"
78,Ramar.e,DMK,0,10th Pass,65,"Rs 12,28,59,496","Rs 63,27,283"
78,Balasubramani.s,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate Professional,25,"Rs 2,07,360",Rs 0
78,Chandran.s,Tamilaga Makkal Munnetra Kazhagam,0,Others,30,"Rs 3,21,000","Rs 1,37,000"
78,Chandrasekaran.r,AIADMK,0,10th Pass,58,"Rs 2,43,68,498","Rs 9,83,547"
78,Jamuna Thangavel,DMDK,0,8th Pass,46,"Rs 20,60,200","Rs 6,62,584"
78,Sankamadai Ashok Kumar.s,Kongunadu Makkal Desia Katchi,0,Graduate,38,"Rs 22,00,000","Rs 7,10,000"
78,Shathakathullah.n.k.n,BJP,0,5th Pass,53,"Rs 6,00,000",Rs 0
1,Rajendran. S,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",8th Pass,56,"Rs 51,02,984","Rs 2,51,000"
1,Baskar. C,Indiya Jananayaka Katchi,0,Graduate Professional,46,"Rs 7,46,15,911","Rs 2,92,02,303"
1,Jayavel. Rama,DMDK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",5th Pass,46,"Rs 1,42,40,225","Rs 2,62,994"
1,Krishna. K,IND,0,10th Pass,51,"Rs 26,072",Rs 0
1,Manikkam. T,Naam Tamilar Katchi,0,8th Pass,33,"Rs 3,82,872","Rs 1,30,000"
1,Matheshwaran. T,Vidiyalai Thedum Indhiyargal Party,0,Graduate,26,"Rs 11,000","Rs 4,00,000"
1,Padmanaban. R,IND,0,8th Pass,47,"Rs 48,235",Rs 0
1,Pazhanivel. P,IND,0,12th Pass,45,"Rs 14,16,758","Rs 2,13,000"
1,Sathyaseelan. A,LJP,0,Graduate,41,"Rs 24,95,552","Rs 7,36,416"
1,Savarianandham. V,BSP,0,Graduate,39,"Rs 10,10,000",Rs 0
1,Sivasankar. S.s,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 7 </span>",Graduate Professional,47,"Rs 6,19,69,350","Rs 21,18,802"
1,Thirumavalavan. K,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",Graduate,53,"Rs 7,62,90,641","Rs 86,92,969"
1,Veeramani. T,IND,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate Professional,26,"Rs 1,02,000",Rs 0
1,Vijayakumar. R,IND,0,12th Pass,39,"Rs 3,28,17,099","Rs 62,72,577"
2,Ramajeyalingam.j.k.n,AIADMK,0,Graduate,63,"Rs 1,79,37,217","Rs 10,61,121"
2,Alangarmery.t,IND,0,10th Pass,33,"Rs 5,000",Rs 0
2,Chinnadurai.s,BSP,0,12th Pass,42,"Rs 3,10,500",Rs 0
2,Guru Alias Gurunathan.j,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 18 </span>",Post Graduate,55,"Rs 5,11,91,251","Rs 48,22,490"
2,Irulapoo.selvakumar,IND,0,10th Pass,46,"Rs 8,10,000",Rs 0
2,Kandasamy.m.s,Marumalarchi Dravida Munnetra Kazhagam,0,8th Pass,57,"Rs 5,33,70,041","Rs 56,20,000"
2,Karunagaran.g,IND,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",10th Pass,54,"Rs 9,87,500","Rs 87,000"
2,Krishnamoorthy.r,Naam Tamilar Katchi,0,Illiterate,73,"Rs 20,43,000",Rs 0
2,Krishnamoorthy.s,BJP,0,10th Pass,55,"Rs 1,84,40,593","Rs 96,100"
2,Mahesh.c,IND,0,Graduate,35,"Rs 1,53,225",Rs 0
2,Rajendran.g,INC,0,12th Pass,60,"Rs 2,47,63,962","Rs 1,63,09,597"
2,Selvamani.p,IND,0,Graduate Professional,34,"Rs 2,50,000",Rs 0
2,Ulaganathan.n,NCP,0,Graduate Professional,61,"Rs 1,68,000",Rs 0
3,Selvi J Jayalalithaa,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",10th Pass,68,"Rs 1,13,73,38,586","Rs 2,04,02,987"
3,Abraham Rajamohan.r,Peoples Party of India(secular),0,Graduate,68,"Rs 1,09,100",Rs 0
3,Agnes F,Pattali Makkal Katchi,0,5th Pass,49,"Rs 8,44,000",Rs 0
3,Arunthathi Ramachandran,IND,0,Illiterate,41,"Rs 12,000",Rs 0
3,Arunthathi Vadivel Murugan,IND,0,Graduate Professional,33,"Rs 2,18,753","Rs 2,68,000"
3,Baskar P,IND,0,Graduate,34,"Rs 1,10,000",Rs 0
3,Baskaran N,IND,0,Graduate Professional,39,"Rs 2,95,000",Rs 0
3,Bhuvaneswari P,IND,0,12th Pass,28,"Rs 45,000",Rs 0
3,Chandrasekar K,IND,0,8th Pass,42,"Rs 1,99,000",Rs 0
3,Devi G,Naam Tamilar Katchi,0,12th Pass,38,"Rs 2,80,335",Rs 0
3,Duraivel V,IND,0,8th Pass,43,"Rs 40,000",Rs 0
3,Edinburough J,BSP,0,Graduate,37,"Rs 54,000",Rs 0
3,Gajendran P,IND,0,5th Pass,34,"Rs 31,000",Rs 0
3,Gopi M,IND,0,10th Pass,36,"Rs 2,34,115",Rs 0
3,Jagadishwarareddy K,IND,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",12th Pass,54,"Rs 31,000",Rs 0
3,Jayalakshmi K,IND,0,8th Pass,36,"Rs 1,31,000",Rs 0
3,Kaveriselvam M,IND,0,Graduate Professional,28,"Rs 15,000",Rs 0
3,Manaoharan S,IND,0,Post Graduate,34,"Rs 3,38,045",Rs 0
3,Marimuthu P,IND,0,5th Pass,60,"Rs 39,08,400","Rs 1,20,000"
3,Meenachi Sundaram V,IND,0,Graduate,34,"Rs 14,384",Rs 0
3,Megavanan I,IND,0,Graduate,30,"Rs 24,27,000","Rs 15,00,000"
3,Michael Raj M.a,IND,0,8th Pass,47,"Rs 1,32,75,837",Rs 0
3,Murugan M.r.,Jebamani Janata,0,5th Pass,36,Nil,Rs 0
3,Nambirajan N,IND,0,Graduate,30,"Rs 60,000",Rs 0
3,Ponraj P,IND,0,5th Pass,45,"Rs 5,02,000",Rs 0
3,Prakash,IND,0,Literate,37,"Rs 2,12,000",Rs 0
3,Pravina G,IND,0,Graduate Professional,43,"Rs 1,48,50,000",Rs 0
3,Premkumar P,IND,0,5th Pass,27,"Rs 20,000",Rs 0
3,Raj L,IND,0,Graduate,41,"Rs 7,03,000",Rs 0
3,Raja M.n,BJP,0,Post Graduate,58,"Rs 9,51,43,739","Rs 1,05,69,995"
3,Raju R.s,IND,0,8th Pass,45,"Rs 1,72,000",Rs 0
3,Ramesh R,IND,0,10th Pass,28,"Rs 2,15,000",Rs 0
3,Ravi Parayanar.d,RPI(A),0,10th Pass,39,"Rs 68,000",Rs 0
3,Sadaiyandi.e,SUCI(C),0,5th Pass,53,"Rs 29,500",Rs 0
3,Sekar,IND,0,Others,43,"Rs 2,80,000",Rs 0
3,Selvarani,IND,0,Graduate,38,"Rs 2,03,30,000","Rs 45,00,000"
3,Shanmuganandham M,Vidiyalai Thedum Indhiyargal Party,0,Post Graduate,29,"Rs 15,800",Rs 0
3,Shimla Muthuchozhan,DMK,0,Graduate Professional,34,"Rs 1,60,16,889",Rs 0
3,Subash Babu M,Anbu Udhayam Katchi,0,Post Graduate,41,"Rs 33,78,129","Rs 2,85,000"
3,Sureshkumar S,Makkalatchi Katchi,0,Graduate,33,"Rs 2,18,753","Rs 2,68,000"
3,Thangavel,IND,0,Graduate,42,"Rs 34,62,000","Rs 17,30,000"
3,Vasanthi Devi V,Viduthalai Chiruthaigal Katchi,0,Doctorate,77,"Rs 2,58,31,650",Rs 0
3,Venugopal D,SHS,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",10th Pass,30,"Rs 54,000",Rs 0
3,Yuvaraj S,IND,0,Post Graduate,27,"Rs 12,000",Rs 0
4,Nataraj R,AIADMK,0,Doctorate,65,"Rs 9,25,38,499","Rs 73,36,106"
4,Anand N,IND,0,10th Pass,46,"Rs 7,75,500","Rs 1,65,000"
4,Arunraj Balan,IND,0,Graduate Professional,26,"Rs 1,92,000",Rs 0
4,Balaji V,BSP,0,12th Pass,36,"Rs 2,50,500",Rs 0
4,Balakrishnan,IND,0,Graduate,58,"Rs 6,60,600",Rs 0
4,Dhananjayan T.s,IND,0,8th Pass,45,"Rs 76,116",Rs 0
4,Govindarajulu.m.,Youth And Students Party,0,Post Graduate,76,"Rs 7,90,026",Rs 0
4,Jebamani E,Peoples Party of India(secular),0,Post Graduate,65,"Rs 1,22,000",Rs 0
4,Joshua Gerard,IND,0,Graduate Professional,27,"Rs 10,61,647",Rs 0
4,K.r.ramaswamzy,IND,0,Others,82,"Rs 42,700",Rs 0
4,Karate R.thiagarajan,INC,0,12th Pass,51,"Rs 31,23,01,962","Rs 30,18,085"
4,Kuppal G.devadoss,IND,0,10th Pass,61,"Rs 1,57,31,500","Rs 66,00,000"
4,Loganathan,IND,0,Graduate Professional,63,"Rs 4,20,21,000","Rs 32,96,000"
4,Mohanraj J,Jebamani Janata,0,Graduate,64,"Rs 1,83,30,000","Rs 3,00,000"
4,Munavar Basha A.s,Tamil Maanila Congress (Moopanar),0,Graduate,62,"Rs 20,50,500",Rs 0
4,Nagarajan K,BJP,0,12th Pass,56,"Rs 52,32,078","Rs 97,146"
4,Sathyaa Durrairajh,IND,0,Post Graduate,30,"Rs 89,608",Rs 0
4,Sathyanarayanan .s.,IND,0,Graduate Professional,44,"Rs 3,12,85,824","Rs 63,22,828"
4,Shanmuga Rajan,IND,0,10th Pass,65,"Rs 2,56,63,480","Rs 15,02,000"
4,Sheela S,IND,0,8th Pass,46,"Rs 1,60,400","Rs 4,50,000"
4,Sivakumar,IND,0,12th Pass,38,"Rs 4,50,500",Rs 0
4,Sudhakar.s.,Naam Tamilar Katchi,0,Graduate,36,"Rs 14,63,949","Rs 22,672"
4,Suresh Kumar N,Pattali Makkal Katchi,0,Graduate Professional,29,"Rs 11,97,866",Rs 0
4,V.vijayakrishna,SHS,0,Post Graduate,38,"Rs 1,22,031","Rs 4,48,950"
5,Sathyanarayanan.b,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate,52,"Rs 14,09,95,458","Rs 5,61,12,203"
5,A. Ramanan,SHS,0,10th Pass,66,"Rs 5,10,900",Rs 0
5,Dr.n.s.kanimozhi,DMK,0,Post Graduate,43,"Rs 6,73,49,281","Rs 3,25,40,745"
5,E. Dinakaran,IND,0,5th Pass,47,"Rs 2,95,000",Rs 0
5,H.raja,BJP,0,Graduate Professional,58,"Rs 1,16,20,928","Rs 4,87,131"
5,Harirajan.m,IND,0,Graduate Professional,29,"Rs 7,66,503","Rs 90,000"
5,K. Nagadass,BSP,0,5th Pass,49,"Rs 5,000",Rs 0
5,Kumar.v,DMDK,0,8th Pass,47,"Rs 2,76,49,886","Rs 1,53,92,339"
5,M. Karthik,IND,0,Graduate Professional,27,"Rs 5,77,534",Rs 0
5,M. Srinivasan,IND,0,Graduate Professional,36,"Rs 4,27,500",Rs 0
5,Mahesh.k,Youth And Students Part,0,Graduate,37,"Rs 2,48,12,674","Rs 9,97,092"
5,P. Tamilmani,IND,0,8th Pass,32,"Rs 2,000",Rs 0
5,R.j. Augustin,Gandhiya Makkal Iyakkam,0,Graduate,32,"Rs 8,24,000","Rs 1,60,000"
5,T. Pandiyarajan,IND,0,10th Pass,56,"Rs 46,40,272",Rs 0
5,Vinoth.v,Pattali Makkal Katchi,0,Graduate,34,"Rs 2,16,03,813","Rs 93,60,227"
6,Subramanian.ma,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",Graduate Professional,56,"Rs 66,82,576",Rs 0
6,Anand.v,IND,0,8th Pass,31,"Rs 2,77,000",Rs 0
6,Chinnadurai.v,IND,0,12th Pass,46,"Rs 4,16,83,706","Rs 35,44,154"
6,Elumalai.s,CPI,0,8th Pass,58,"Rs 1,00,76,223",Rs 0
6,Gokularajan.c,IND,0,Graduate,37,"Rs 33,66,701",Rs 0
6,Kalidass.v,BJP,0,12th Pass,51,"Rs 75,09,841","Rs 10,00,000"
6,Kandasamy.r,IND,0,8th Pass,48,"Rs 10,95,000",Rs 0
6,Manoharan.m,Naam Tamilar Katchi,0,Not Given,34,"Rs 6,55,500","Rs 85,000"
6,Murugesan.s,BSP,0,8th Pass,39,"Rs 1,33,400",Rs 0
6,Parthiban.s,IND,0,10th Pass,49,"Rs 79,95,000","Rs 2,50,000"
6,Ponnayan.c,AIADMK,0,Graduate Professional,74,"Rs 8,01,33,555","Rs 1,35,14,520"
6,Rajasekar.t,IND,0,Graduate,49,"Rs 5,59,009",Rs 0
6,Shankar.e,IND,0,10th Pass,25,"Rs 1,65,000","Rs 84,000"
6,Soundarjan.c,IND,0,8th Pass,42,"Rs 4,79,540",Rs 0
6,Subaramani.k,IND,0,8th Pass,69,"Rs 18,500",Rs 0
6,Subramani.m,IND,0,Illiterate,61,"Rs 16,000",Rs 0
6,Thomas.c,LJP,0,8th Pass,40,"Rs 12,000",Rs 0
6,Vishnuram.m,Youth And Students Party,0,Post Graduate,42,"Rs 72,20,552","Rs 33,00,000"
6,Vishnuram.s,IND,0,Post Graduate,32,"Rs 5,89,777",Rs 0
7,V.n.virugai Ravi,AIADMK,0,Graduate,51,"Rs 62,38,250",Rs 0
7,A.seenevasan,Kongunadu Makkal Desia Katchi,0,12th Pass,30,"Rs 5,75,081","Rs 4,81,510"
7,B.jayabal,IND,0,8th Pass,45,"Rs 6,67,533","Rs 1,26,201"
7,B.parthasarathy,DMDK,"<span style=""color:red;font-weight:bold;font-size:150%""> 5 </span>",10th Pass,51,"Rs 56,32,561","Rs 2,06,000"
7,C.h. Jayarao,Pattali Makkal Katchi,0,10th Pass,75,"Rs 6,63,067","Rs 4,29,623"
7,D.dhanasekar,IND,0,8th Pass,44,"Rs 2,64,398",Rs 0
7,Dilip Mathew John,Youth And Students Party,0,Post Graduate,38,"Rs 19,67,000",Rs 0
7,Dr. Tamilisai Soudrarajan,BJP,0,Graduate Professional,54,"Rs 5,80,04,000","Rs 40,00,000"
7,G.rajendran,IND,0,8th Pass,39,"Rs 1,31,242",Rs 0
7,K. Thanasekaran,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",10th Pass,54,"Rs 17,91,62,607","Rs 5,68,922"
7,K.ravi,IND,0,Illiterate,45,"Rs 33,064",Rs 0
7,M.s.s.sudhir Theja,IND,0,10th Pass,26,"Rs 2,51,000",Rs 0
7,N.nandha Gopal,IND,0,Graduate Professional,35,"Rs 20,000",Rs 0
7,N.ravi,IND,0,5th Pass,46,"Rs 24,00,000",Rs 0
7,P. Essakimuthu,IND,0,Illiterate,60,Nil,Rs 0
7,S.kumar,IND,0,12th Pass,47,"Rs 6,49,620",Rs 0
7,S.r.dinesh Kumar,IND,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate,28,"Rs 3,70,000",Rs 0
7,T.s.rajendran,Naam Tamilar Katchi,0,12th Pass,52,"Rs 25,51,700","Rs 2,50,000"
8,Mohan M.k.,DMK,0,8th Pass,63,"Rs 1,70,97,31,016","Rs 4,11,72,776"
8,Akhilesh A M,Pattali Makkal Katchi,0,Graduate Professional,27,"Rs 2,60,000",Rs 0
8,Amutha N,Naam Tamilar Katchi,0,Graduate,48,"Rs 8,29,657","Rs 2,60,000"
8,Babu D,IND,0,5th Pass,38,"Rs 16,000",Rs 0
8,Balaji S,IND,0,Illiterate,48,"Rs 41,000",Rs 0
8,Bhuvaneswaran M,IND,0,Others,30,"Rs 26,000",Rs 0
8,Kannan S,IND,0,Graduate Professional,36,"Rs 76,82,500",Rs 0
8,Kumaran P,Youth And Students Party,0,Others,42,"Rs 6,83,90,000",Rs 0
8,Mallika Dayalan,Marumalarchi Dravida Munnetra Kazhagam,0,12th Pass,59,"Rs 24,01,562","Rs 7,94,642"
8,Muthusamy M,IND,0,Graduate Professional,40,"Rs 7,59,500",Rs 0
8,Ravi Kumar S,IND,0,Graduate Professional,41,"Rs 15,16,790","Rs 1,60,000"
8,S.gokula Indira,AIADMK,0,Post Graduate,50,"Rs 8,93,64,496","Rs 2,70,06,473"
8,Saravanan R,IND,0,Post Graduate,50,"Rs 91,38,612","Rs 47,71,634"
8,Saravanaraja P,Valamaana Tamizhagam Katchi,0,Post Graduate,49,"Rs 9,26,31,062","Rs 1,33,46,470"
8,Sivasankaran R,IND,0,8th Pass,49,"Rs 2,70,000",Rs 0
8,Sofilet,LJP,0,10th Pass,37,"Rs 3,14,000",Rs 0
8,Suresh K,BJP,0,Graduate,36,"Rs 28,58,050",Rs 0
8,Thirunavukkarasu V,Makkalatchi Katchi,0,10th Pass,39,"Rs 4,79,296","Rs 1,48,000"
8,Timothy Moses,Christian Democratic Front,0,Post Graduate,43,"Rs 6,18,576",Rs 0
8,Varkees Tharuma Raj G,Tamilaga Sthabana Congress,0,Doctorate,64,"Rs 5,59,14,000","Rs 2,30,000"
8,Yogeswaran D,IND,0,Graduate,28,"Rs 5,25,120",Rs 0
9,Ku.ka.selvam,DMK,0,Not Given,63,"Rs 15,06,21,865",Rs 0
9,Arunthathi Ramachandran,IND,0,Illiterate,41,"Rs 12,000",Rs 0
9,B.valarmathi,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",10th Pass,58,"Rs 8,92,10,458",Rs 0
9,C. Ambigapathy,Marumalarchi Dravida Munnetra Kazhagam,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",12th Pass,51,"Rs 18,41,55,962","Rs 5,09,95,432"
9,Dhananjayan T S,IND,0,8th Pass,45,"Rs 76,116",Rs 0
9,Elango M,Youth And Students Party,0,Post Graduate,32,"Rs 1,09,545",Rs 0
9,Gokulakrishnan E,IND,0,Post Graduate,40,"Rs 70,49,752","Rs 33,13,443"
9,Iyyanar C,IND,0,Graduate Professional,47,"Rs 1,13,47,999","Rs 1,70,000"
9,Jaffer Sadik J,IND,0,Graduate,39,"Rs 3,63,55,075","Rs 4,73,212"
